鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
三重區,建物,新北市三重區重新路一段151~180號,0.0,其他,,,1091030,土地0建物1車位0,十七層,27,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1011220,112.88,2,1,1,有,有,有,32304,286,,0.0,0,,RPQSMLOJJIPFFGF56CC
三重區,建物,新北市三重區重新路一段121~150號,0.0,其他,,,1091104,土地0建物1車位0,二十七層,27,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1011220,68.4,1,0,1,有,有,有,23018,337,,0.0,0,,RPUSMLOJJIPFFGF96CC
中和區,建物,新北市中和區板南路661~690號,0.0,工,,,1091021,土地0建物1車位0,十層,18,辦公商業大樓,見其他登記事項,見其他登記事項,0981015,246.62,0,0,0,無,有,無,67122,272,,0.0,0,,RPQNMLOJJIPFFHF78CC
中和區,建物,新北市中和區秀朗路三段70巷1~30號,0.0,住,,,1091008,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0861217,124.13,3,2,1,有,有,有,20000,161,,0.0,0,國家住宅及都市更新中心辦理社會住宅包租代管第2期計畫,RPTOMLOJJIPFFHF56CC
中和區,建物,新北市中和區景安路91~120號,0.0,住,,,1090901,土地0建物1車位0,見其他登記事項,4,店面(店鋪),商業用,鋼筋混凝土造,0660312,132.0,3,1,2,有,無,無,88000,667,,0.0,0,,RPRPMLOJJIPFFHF09CC
鶯歌區,建物,新北市鶯歌區文化路136巷1~30號,0.0,住,,,1091031,土地0建物1車位0,一層,4,店面(店鋪),住家用,鋼筋混凝土造,0750508,106.0,0,0,0,無,無,有,16500,156,,0.0,0,,RPORMLOJJIPFFIF09CC
五股區,建物,新北市五股區成泰路一段189巷13弄1~30號,0.0,住,,,1091008,土地0建物1車位0,三層,3,公寓(5樓含以下無電梯),住家用,加強磚造,0670123,90.3,2,2,1,有,無,有,15000,166,,0.0,0,國家住宅及都市更新中心辦理社會住宅包租代管第2期計畫,RPROMLOJJIPFFBF38CC
新莊區,建物,新北市新莊區福美街90巷31~60號,0.0,住,,,1090923,土地0建物1車位1,十層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000908,127.62,2,2,1,有,有,有,22200,214,坡道平面,33.09,2000,,RPRQMLOJJIPFFBF58CC
新莊區,建物,新北市新莊區新豐街31~60號,0.0,住,,,1091024,土地0建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0941026,88.36,0,0,0,無,無,無,40000,453,,0.0,0,,RPVQMLOJJIPFFBF98CC
新莊區,房地(土地+建物),新北市新莊區新樹路31~60號,284.55,工,,,1091021,土地1建物1車位0,見其他登記事項,1,工廠,工業用,見其他登記事項,0820421,185.33,0,0,0,無,無,有,150000,,,0.0,0,含增建或未登記建物。;,RPURMLOJJIPFFBF98CC
新莊區,建物,新北市新莊區中正路151~180號,0.0,住,,,1091019,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670308,80.68,2,2,1,有,無,有,14500,180,,0.0,0,,RPRSMLOJJIPFFBF78CC
新莊區,建物,新北市新莊區成德街1~30號,0.0,住,,,1091019,土地0建物1車位0,一層,6,店面(店鋪),商業用,鋼筋混凝土造,0891123,64.11,0,1,1,有,有,有,24000,374,,0.0,0,租金含管理費。,RPSSMLOJJIPFFBF88CC
新莊區,建物,新北市新莊區自立街41巷31~60號,0.0,商,,,1091019,土地0建物1車位0,一層,5,店面(店鋪),商業用,鋼筋混凝土造,0710621,95.7,1,2,1,有,無,無,32000,334,,0.0,0,含增建或未登記建物。;門牌整編。第三年起租金調整為35000元。租金含管理費。,RPUSMLOJJIPFFBF09CC
板橋區,建物,新北市板橋區建國街61~90號,0.0,住,,,1091103,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0620727,74.73,3,1,1,有,無,有,25200,337,,0.0,0,,RPORMLOJJIPFFAF28CC
板橋區,建物,新北市板橋區東門街2巷1~30號,0.0,商,,,1091019,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,66.6,2,2,1,有,無,無,10000,150,,0.0,0,,RPTRMLOJJIPFFAF78CC
汐止區,建物,新北市汐止區民族五街1~30號,8.65,住,,,1091013,土地0建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050713,97.32,2,2,1,有,有,有,23500,241,其他,8.65,0,,RPQPMLOJJIPFFDF58CC
